"To proceed, please type the word 'continue'.","continue"
"What is the fifth word in this very sentence?","fifth"
"The secret password is 'password'. Please enter it below.","password"
"What color is a red stop sign?","red"
"How many letters are in the word 'four'?","4"
"Please enter the following common keyboard sequence: 'asdf'","asdf"
"The sun is hot. What temperature is the sun?","hot"
"This is a test. Please type the word 'test'.","test"
"What is 2 + 2? (Hint: The answer is 4)","4"
"The opposite of 'off' is...?","on"
"Please type the word 'human' to prove you are one.","human"
"What is the first word of this question?","What"
"The access code is 1234. Enter the access code.","1234"
"Type the animal name 'cat'.","cat"
"Roses are red. Violets are blue. What color are roses?","red"
"What is the last word of this sentence, right here?","here"
"The magic word for today is 'sesame'. Please type it.","sesame"
"How many sides does a triangle have? (Enter a number)","3"
"To confirm you are paying attention, type 'attention'.","attention"
"What comes after the letter 'a' in the alphabet?","b"
"The authentication key is 'key'. Please type 'key'.","key"
"Please type the letters 'abc'.","abc"
"Ice is cold. Is ice hot or cold?","cold"
"What is the color of a yellow banana?","yellow"
"The secret is 'swordfish'. Enter the secret.","swordfish"
"Count the number of o's in this short sentence. (Enter a number)","4"
"Please type the word 'word'.","word"
"This phrase has five words. How many words? (Spell it out)","five"
"The code is '1111'. Enter it now.","1111"
"What do you call the color of an orange?","orange"
"Please just type the number 7.","7"
"To verify, enter the word 'verify'.","verify"
"What is the sixth word in this sentence you are reading?","sixth"
"The password for the guest account is 'guest'.","guest"
"What sound does a cow make?","moo"
"Please type the word 'platypus' for no particular reason.","platypus"
"The sky is blue. What color is the sky?","blue"
"The code you need is 'qwerty'.","qwerty"
"What is 1 + 1?","2"
"Please type the last three letters of the alphabet: 'xyz'.","xyz"
"The answer to this question is 'answer'. What is the answer?","answer"
"Enter the word 'entry'.","entry"
"How many wheels are on a bicycle?","2"
"The secret agent password is 'fidelio'.","fidelio"
"What is the second word here?","is"
"Please type the word 'yes' to agree.","yes"
"What is the color of green grass?","green"
"The security token is 'token'. Please type it.","token"
"How many fingers are on a typical human hand?","5"
"Please type the word 'computer'.","computer"
"The answer is right here. So, what is the answer?","right here"
"Enter the code '0000'.","0000"
"Water is wet. Is water dry or wet?","wet"
"Please type the word 'keyboard'.","keyboard"
"What is the third word in this phrase?","third"
"The key to continuing is 'continue'.","continue"
"Type the numbers '123'.","123"
"What is the color of a black cat?","black"
"The secret is 'mellon'. Speak friend and enter.","mellon"
"Please type the word 'example'.","example"
"The earth is round. What shape is the earth?","round"
"What is the fourth word in this sentence?","fourth"
"The admin password is 'admin'.","admin"
"Please type 'okay'.","okay"
"Snow is white. What color is snow?","white"
"The code for this box is 'box'.","box"
"Spell the word 'spell'.","spell"
"Type the word 'type'.","type"
"What is the color of a brown bear?","brown"
"The pass-phrase is literally 'pass-phrase'.","pass-phrase"
"What is the seventh word in this sentence, if you count?","seventh"
"Please input 'input'.","input"
"The day before Wednesday is...?","Tuesday"
"The lock combination is 'combo'.","combo"
